MatchID,Team,Opponent,Goals,Points,TwoPointers,Wides,Shorts,KickoutsWon,KickoutsLost,ForcedTurnovers,UnforcedTurnovers,FreesConceded,BreakingBallWon,Attacks,TotalShots,TotalScores,ShotsPlay,ScoresPlay,ShotsPlaced,ScoresPlaced
CL-R1,Austin Stacks,Glenflesk,1,12,3,5,,16,9,7,4,8,0,30,24,16,16,9,8,7
CL-R1,Glenflesk,Austin Stacks,1,15,3,9,,17,4,6,5,7,4,36,30,19,20,12,10,7
CL-R2,Austin Stacks,Kilcummin,2,7,3,6,1,15,9,2,4,4,3,30,19,12,14,10,5,2
CL-R2,Kilcummin,Austin Stacks,1,14,1,11,2,13,3,8,5,2,10,,29,16,24,14,5,2
CL-R3,Austin Stacks,Beaufort,1,9,3,2,6,11,12,8,7,12,13,33,23,13,20,12,3,1
CL-R3,Beaufort,Austin Stacks,0,11,4,10,1,7,9,12,5,3,9,35,27,15,14,6,13,9
CL-R4,Austin Stacks,Dr Crokes,2,16,3,8,2,8,6,9,4,5,9,38,32,21,27,18,5,3
CL-R4,Dr Crokes,Austin Stacks,1,10,0,2,4,11,16,7,4,5,10,,21,11,17,9,4,2
CL-R5,Austin Stacks,Rathmore,3,16,1,8,5,7,0,12,2,3,8,41,34,20,29,18,5,2
CL-R5,Rathmore,Austin Stacks,0,3,0,4,6,12,14,8,5,2,3,26,14,3,10,1,4,2
CL-R6,Austin Stacks,Kerins O'Rahillys,1,21,0,6,1,6,8,6,4,8,7,35,30,22,25,17,5,5
CL-R6,Kerins O'Rahillys,Austin Stacks,1,5,4,5,3,13,14,3,6,4,10,26,18,10,9,2,9,8
CL-R7,Austin Stacks,Dingle,0,12,0,8,6,11,2,6,7,5,7,34,27,12,23,9,4,3
CL-R7,Dingle,Austin Stacks,1,9,0,3,2,10,9,4,8,3,1,25,17,10,12,5,5,5
CL-R8,Austin Stacks,Spa Killarney,7,10,0,6,0,10,11,3,4,7,6,29,25,17,20,13,5,4
CL-R8,Spa Killarney,Austin Stacks,1,10,5,5,4,16,9,2,3,5,10,32,27,16,22,11,5,5
CL-R9,Austin Stacks,Kenmare Shamrocks,1,10,0,4,2,7,11,7,7,6,10,28,18,11,15,9,3,2
CL-R9,Kenmare Shamrocks,Austin Stacks,2,8,1,7,1,4,10,9,5,4,8,28,20,11,15,8,5,3
CL-R10,Austin Stacks,Gneeveguilla,4,18,1,8,3,11,5,9,6,4,9,37,36,23,32,20,4,3
CL-R10,Gneeveguilla,Austin Stacks,0,6,3,5,0,12,17,4,3,3,8,24,16,9,11,5,5,4
