MatchID,Team,Period,KickoutType,Taken,Won,Lost,CleanWins,BreakWins,FreeWins,SidelineWins
club1,Austin Stacks,FT,Own,17,12,5,8,4,0,0
club1,Austin Stacks,FT,Opponent,21,7,14,2,5,0,0
club1,Austin Stacks,1H,Own,8,6,2,4,2,0,0
club1,Austin Stacks,2H,Own,9,6,3,4,2,0,0
club1,Austin Stacks,1H,Opponent,10,4,6,1,3,0,0
club1,Austin Stacks,2H,Opponent,11,3,8,1,2,0,0
club2,Austin Stacks,FT,Own,21,14,7,8,4,2,0
club2,Austin Stacks,FT,Opponent,20,6,14,4,2,0,0
club2,Austin Stacks,1H,Own,11,6,5,0,4,2,0
club2,Austin Stacks,2H,Own,10,8,2,8,0,0,0
club2,Austin Stacks,1H,Opponent,9,4,5,2,2,0,0
club2,Austin Stacks,2H,Opponent,11,2,9,2,0,0,0
