MatchID,Team,Source,Scores
club1,Austin Stacks,Own Kickout,3
club1,Austin Stacks,Opponent Kickout,3
club1,Austin Stacks,Turnover,4
club1,Austin Stacks,Open / Structured Play,4
club1,Austin Stacks,Free,1
club1,Austin Stacks,Mark,1
club1,Austin Stacks,45,1
club1,Austin Stacks,Penalty,0
club2,Austin Stacks,Own Kickout,4
club2,Austin Stacks,Opponent Kickout,4
club2,Austin Stacks,Turnover,3
club2,Austin Stacks,Open / Structured Play,3
club2,Austin Stacks,Free,2
club2,Austin Stacks,Mark,0
club2,Austin Stacks,45,0
club2,Austin Stacks,Penalty,0
