MatchID,Team,Period,ShotType,ShotsTaken,ShotsScored,Wides,Shorts,Blocked,Post,Saved
club1,Austin Stacks,FT,Overall,25,17,3,3,1,1,0
club1,Austin Stacks,FT,Play,22,14,3,3,1,1,0
club1,Austin Stacks,FT,Free,1,1,0,0,0,0,0
club1,Austin Stacks,FT,Mark,1,1,0,0,0,0,0
club1,Austin Stacks,FT,45,1,1,0,0,0,0,0
club1,Austin Stacks,FT,Penalty,0,0,0,0,0,0,0
club1,Austin Stacks,1H,Overall,13,8,2,2,1,0,0
club1,Austin Stacks,2H,Overall,12,9,1,1,0,1,0
club2,Austin Stacks,FT,Overall,21,16,3,1,0,0,1
club2,Austin Stacks,FT,Play,19,14,3,1,0,0,1
club2,Austin Stacks,FT,Free,2,2,0,0,0,0,0
club2,Austin Stacks,FT,Mark,0,0,0,0,0,0,0
club2,Austin Stacks,FT,45,0,0,0,0,0,0,0
club2,Austin Stacks,FT,Penalty,0,0,0,0,0,0,0
club2,Austin Stacks,1H,Overall,8,7,1,0,0,0,0
club2,Austin Stacks,2H,Overall,13,9,2,1,0,0,1
